<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20140412,908.00,945,905,912.00,5595020,458,خاهنح-ت
20140413,840.00,840,840,840.00,244650,17,خاهنح-ت
20140414,773.00,773,773,773.00,57713,11,خاهنح-ت
20140415,712.00,767,712,714.00,18583845,1291,خاهنح-ت
20140518,1350.00,1350,1350,1350.00,153780,4,خاهنح-ت
20140524,1600.00,1600,1600,1600.00,10560,2,خاهنح-ت
20140525,1472.00,1472,1472,1472.00,1000,1,خاهنح-ت
20140526,1355.00,1355,1355,1355.00,1000,1,خاهنح-ت
20140528,1247.00,1463,1247,1423.00,5400,4,خاهنح-ت
20140531,1310.00,1310,1310,1310.00,10000,1,خاهنح-ت
20140601,1414.00,1414,1206,1243.00,8500,4,خاهنح-ت
20140602,1144.00,1144,1144,1144.00,5000,1,خاهنح-ت
20140603,1053.00,1053,1053,1053.00,2000,1,خاهنح-ت
20140607,969.00,969,969,969.00,24440,5,خاهنح-ت
20140608,892.00,892,892,892.00,10000,1,خاهنح-ت
20140609,821.00,821,821,821.00,5000,1,خاهنح-ت
20140610,756.00,756,756,756.00,713400,32,خاهنح-ت
20140611,696.00,696,696,696.00,321099,11,خاهنح-ت
20140614,641.00,641,641,641.00,140000,7,خاهنح-ت
20140615,600.00,600,590,590.00,103901890,4240,خاهنح-ت
20170305,1179.00,1296,1178,1220.00,10958560,980,خاهنح-ت
20170306,1289.00,1342,1280,1328.00,8596526,954,خاهنح-ت
20170307,1327.00,1345,1254,1299.00,2455402,444,خاهنح-ت
20170308,1250.00,1289,1201,1245.00,2885603,408,خاهنح-ت
20170311,1212.00,1212,1121,1128.00,3056596,340,خاهنح-ت
20170312,1120.00,1169,1120,1141.00,885239,170,خاهنح-ت
20170313,1075.00,1192,1027,1063.00,3632504,504,خاهنح-ت
20170314,1099.00,1169,1001,1142.00,3296118,351,خاهنح-ت
20170315,1256.00,1256,1225,1256.00,2523891,193,خاهنح-ت
20170318,1288.00,1374,1272,1324.00,4057173,433,خاهنح-ت
20170325,1330.00,1420,1330,1381.00,2225245,286,خاهنح-ت
20170326,1430.00,1430,1243,1274.00,5307080,527,خاهنح-ت
20170327,1296.00,1298,1201,1242.00,1988445,293,خاهنح-ت
20170328,1313.00,1320,1255,1279.00,1177738,181,خاهنح-ت
20170329,1317.00,1406,1280,1375.00,5668518,526,خاهنح-ت
20170403,1456.00,1512,1451,1501.00,5955016,528,خاهنح-ت
20170404,1580.00,1640,1450,1549.00,4065881,622,خاهنح-ت
20170405,1600.00,1650,1462,1611.00,5257744,547,خاهنح-ت
20170408,1640.00,1675,1603,1638.00,3290162,357,خاهنح-ت
20170409,1640.00,1640,1500,1536.00,4831063,549,خاهنح-ت
20170410,1539.00,1548,1385,1430.00,4741795,623,خاهنح-ت
20170412,1400.00,1400,1292,1331.00,2849303,364,خاهنح-ت
20170415,1301.00,1400,1260,1323.00,3181532,425,خاهنح-ت
20170416,1303.00,1303,1228,1244.00,4784250,436,خاهنح-ت
20170417,1289.00,1301,1180,1227.00,1463810,176,خاهنح-ت
20170418,1268.00,1349,1250,1320.00,2616809,302,خاهنح-ت
20170419,1350.00,1452,1350,1432.00,5837928,525,خاهنح-ت
20170422,1464.00,1545,1388,1460.00,4293412,486,خاهنح-ت
20170423,1465.00,1498,1314,1349.00,7103792,601,خاهنح-ت
20170424,1251.00,1399,1251,1340.00,9480973,872,خاهنح-ت
20170426,1302.00,1302,1234,1277.00,10443269,924,خاهنح-ت
20170429,1230.00,1300,1199,1232.00,17084508,1384,خاهنح-ت
20170529,1380.00,1380,1380,1380.00,1000000,20,خاهنح-ت
20170530,1300.00,1300,1243,1287.00,5480000,179,خاهنح-ت
20170531,1211.00,1211,1180,1189.00,1856300,70,خاهنح-ت
20170603,1095.00,1095,1071,1074.00,7667410,375,خاهنح-ت
20170606,1121.00,1121,1101,1101.00,67408,6,خاهنح-ت
20170607,1052.00,1052,1050,1050.00,2108180,131,خاهنح-ت
20170610,1110.00,1110,1020,1028.00,1292645,68,خاهنح-ت
20170611,1020.00,1020,1000,1001.00,5492410,376,خاهنح-ت
20170612,1080.00,1080,950,979.00,14621997,797,خاهنح-ت
20180505,2650.00,2750,2470,2652.00,2360212,398,خاهنح-ت
20180506,2629.00,2629,2406,2478.00,916763,182,خاهنح-ت
20180507,2380.00,2381,2252,2313.00,571073,106,خاهنح-ت
20180508,2152.00,2490,2152,2421.00,298882,86,خاهنح-ت
20180509,2213.00,2423,2220,2375.00,48428,40,خاهنح-ت
20180512,2341.00,2450,2345,2434.00,288462,80,خاهنح-ت
20180513,2448.00,2609,2448,2557.00,897818,174,خاهنح-ت
20180514,2610.00,2630,2565,2584.00,1311003,169,خاهنح-ت
20180515,2561.00,2580,2460,2535.00,275371,61,خاهنح-ت
20180516,2450.00,2598,2412,2445.00,803212,97,خاهنح-ت
20180519,2550.00,2550,2423,2501.00,405398,53,خاهنح-ت
20180520,2479.00,2500,2400,2411.00,519284,84,خاهنح-ت
20180521,2400.00,2400,2321,2363.00,166336,41,خاهنح-ت
20180522,2425.00,2425,2310,2327.00,151327,28,خاهنح-ت
20180523,2290.00,2379,2277,2284.00,114909,24,خاهنح-ت
20180526,2285.00,2298,2250,2258.00,266591,44,خاهنح-ت
20180527,2250.00,2387,2250,2295.00,37287,29,خاهنح-ت
20180528,2350.00,2420,2262,2368.00,253830,64,خاهنح-ت
20180529,2449.00,2449,2350,2410.00,42753,15,خاهنح-ت
20180530,2301.00,2395,2301,2335.00,1207627,68,خاهنح-ت
20180602,2254.00,2487,2254,2344.00,479673,80,خاهنح-ت
20180603,2345.00,2400,2250,2326.00,295592,48,خاهنح-ت
20180609,2251.00,2278,2150,2251.00,177143,45,خاهنح-ت
20180610,2270.00,2270,2168,2220.00,396785,74,خاهنح-ت
20180611,2114.00,2267,2114,2196.00,358837,65,خاهنح-ت
20180612,2200.00,2200,2112,2170.00,190340,65,خاهنح-ت
20180613,2190.00,2288,2190,2223.00,138788,47,خاهنح-ت
20180617,2233.00,2275,2184,2247.00,598106,115,خاهنح-ت
20180618,2299.00,2300,2237,2270.00,1348969,191,خاهنح-ت
20180619,2242.00,2315,2241,2295.00,793823,85,خاهنح-ت
20180620,2301.00,2437,2301,2368.00,621242,86,خاهنح-ت
20180623,2307.00,2375,2307,2343.00,422879,89,خاهنح-ت
20180624,2440.00,2577,2340,2491.00,1813816,242,خاهنح-ت
20180625,2740.00,2740,2651,2739.00,2037049,209,خاهنح-ت
20180626,2990.00,3000,2600,2860.00,1450133,230,خاهنح-ت
20180627,2955.00,2998,2730,2831.00,2387279,268,خاهنح-ت
20180731,3800.00,3801,3800,3800.00,11887926,491,خاهنح-ت
20190702,3600.00,3600,3240,3418.00,2307509,818,خاهنح-ت
20190703,3421.00,3421,3183,3251.00,2501252,1095,خاهنح-ت
20190706,3202.00,3205,3081,3143.00,744484,498,خاهنح-ت
20190707,3077.00,3189,3022,3067.00,536054,367,خاهنح-ت
20190722,3300.00,3300,3005,3089.00,1221867,441,خاهنح-ت
20190723,3000.00,3079,2800,2860.00,1161491,317,خاهنح-ت
20190724,2890.00,3088,2831,2973.00,554365,230,خاهنح-ت
20190727,2973.00,3188,2973,3085.00,1529325,400,خاهنح-ت
20190728,3025.00,3100,2932,3025.00,648082,205,خاهنح-ت
20190729,3110.00,3110,2859,3026.00,779009,264,خاهنح-ت
20190730,2970.00,3000,2838,2902.00,578133,192,خاهنح-ت
20190731,2850.00,2999,2850,2895.00,475457,213,خاهنح-ت
20190803,2997.00,2997,2850,2894.00,338979,151,خاهنح-ت
20190804,2900.00,3080,2860,2995.00,1312836,345,خاهنح-ت
20190805,3100.00,3100,2902,3010.00,417337,281,خاهنح-ت
20190806,2910.00,3020,2910,2958.00,237434,84,خاهنح-ت
20190807,3057.00,3057,2870,2977.00,515195,236,خاهنح-ت
20190810,2931.00,2980,2890,2918.00,715435,208,خاهنح-ت
20190811,2980.00,2980,2853,2910.00,1000161,214,خاهنح-ت
20190813,2873.00,2980,2873,2952.00,806200,213,خاهنح-ت
20190814,3000.00,3020.00,2900.00,2963.00,876829,201,خاهنح-ت
